	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Plain	Panel Uncorrected	Panel Analytical	Panel Jacknife ss1	Panel Jacknife ss2	Panel Jacknife js	Panel Jacknife jj
							
comrat	-0.00545	0.0752*	0.0321	0.442***	-9.954***	-0.791***	-0.207***
	(0.0127)	(0.0403)	(0.0403)	(0.0403)	(0.0403)	(0.0403)	(0.0403)
conrat	-0.0105*	0.0170	0.0254	0.0877***	1.169***	-0.102***	0.0221
	(0.00582)	(0.0285)	(0.0285)	(0.0285)	(0.0285)	(0.0285)	(0.0285)
varrat	0.000694	-0.0855	-0.0490	0.00434	9.004***	0.255***	0.291***
	(0.0131)	(0.0527)	(0.0527)	(0.0527)	(0.0527)	(0.0527)	(0.0527)
fdistock	-0.0312***	-0.149**	0.00292	1.677***	0.957***	-0.217***	0.558***
	(0.0112)	(0.0673)	(0.0673)	(0.0673)	(0.0673)	(0.0673)	(0.0673)
shorttot	0.00429	0.0468	0.00860	-1.011***	-8.314***	-1.552***	-0.0411
	(0.0117)	(0.0462)	(0.0462)	(0.0462)	(0.0462)	(0.0462)	(0.0462)
pubrat	0.0113	0.0547	-0.00975	-1.156***	-10.01***	-1.161***	-0.224***
	(0.00831)	(0.0359)	(0.0359)	(0.0359)	(0.0359)	(0.0359)	(0.0359)
multirat	-0.00270	-0.0829	0.0674	1.418***	6.986***	1.201***	0.420***
	(0.00652)	(0.0505)	(0.0505)	(0.0505)	(0.0505)	(0.0505)	(0.0505)
debty	0.00276	0.0307**	0.00560	0.00986	-0.238***	-0.0792***	-0.119***
	(0.00195)	(0.0127)	(0.0127)	(0.0127)	(0.0127)	(0.0127)	(0.0127)
reservem	-0.000671**	-0.00204	0.00376**	-0.00829***	0.0604***	0.0249***	0.00196
	(0.000333)	(0.00158)	(0.00158)	(0.00158)	(0.00158)	(0.00158)	(0.00158)
cacc	0.0108	0.0823**	-0.0240	-1.192***	0.402***	0.576***	-0.315***
	(0.00982)	(0.0378)	(0.0378)	(0.0378)	(0.0378)	(0.0378)	(0.0378)
defrat	0.0269*	0.00212	-0.00461	-1.654***	-0.932***	-1.201***	0.0157
	(0.0138)	(0.0513)	(0.0513)	(0.0513)	(0.0513)	(0.0513)	(0.0513)
dlcred	0.0125***	0.00899	0.00181	-0.898***	-0.530***	0.0419***	-0.00348
	(0.00264)	(0.00933)	(0.00933)	(0.00933)	(0.00933)	(0.00933)	(0.00933)
dly	-0.0370***	-0.00927	0.00325	-0.710***	1.933***	0.628***	0.0718**
	(0.0120)	(0.0301)	(0.0301)	(0.0301)	(0.0301)	(0.0301)	(0.0301)
istar	0.115***	-0.942***	0.191	-0.132	43.33***	4.725***	2.855***
	(0.0252)	(0.305)	(0.305)	(0.305)	(0.305)	(0.305)	(0.305)
overvaln	0.00468						
	(0.00300)						
o.overvaln		-	-	-	-	-	-
							
Constant	-2.542***						
	(0.901)						
							
Observations	803	323	323	323	323	323	323
Country FE	No	Yes	Yes	Yes	Yes	Yes	Yes
Time FE	No	Yes	Yes	Yes	Yes	Yes	Yes
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
